policy,episodes,avg_reward,reward_std,avg_deliveries,avg_completion_rate,avg_steps,avg_throughput_per_100_steps,avg_collisions,avg_charge_visits,avg_order_cycle_time,rank
DQN,3,154.5933333333337,715.2268961199183,5.0,83.33333333333333,239.0,6.165458937198068,100.0,0.6666666666666666,64.0,1
Greedy,3,-5.466666666666996,35.2399394626789,0.3333333333333333,3.3333333333333335,600.0,0.05555555555555556,0.3333333333333333,0.0,5.333333333333333,2
Random,3,-1653.6666666666667,45.21784308581458,0.0,0.0,600.0,0.0,623.0,0.0,0.0,3
